Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,153.8,178.0,148.25,153.65,2231,EQ,66,33.8,1872
2026-04-21,154.0,160.7,150.0,153.75,2538,EQ,53,47.89,2452
2026-04-22,154.95,155.85,151.0,151.2,1216,EQ,75,16.21,955
2026-04-23,154.0,161.95,150.15,155.5,3707,EQ,77,48.14,3425
2026-04-24,155.45,158.9,151.0,156.9,1446,EQ,71,20.37,1203
2026-04-27,161.45,161.45,154.55,156.35,956,EQ,39,24.51,705
2026-04-28,158.0,158.0,151.5,153.75,3855,EQ,64,60.23,3765
2026-04-29,156.45,159.0,150.3,154.55,2880,EQ,109,26.42,2371
2026-04-30,152.05,156.95,150.55,153.1,2007,EQ,104,19.3,1776
2026-05-04,150.05,160.02,150.04,154.01,2058,EQ,63,32.67,1883
2026-05-05,154.01,156.98,154.01,156.8,333,EQ,20,16.65,266
2026-05-06,162.0,162.0,151.7,157.49,2682,EQ,117,22.92,2349
2026-05-07,163.25,163.25,157.0,159.3,668,EQ,44,15.18,455
2026-05-08,157.0,159.89,154.74,156.45,982,EQ,35,28.06,817
2026-05-11,162.7,162.7,153.05,154.63,3549,EQ,60,59.15,2528
2026-05-12,159.0,159.0,151.05,153.13,367,EQ,56,6.55,360
2026-05-13,153.13,159.95,151.5,153.6,2262,EQ,66,34.27,2113
2026-05-14,150.02,155.1,149.03,150.05,3346,EQ,212,15.78,2232
2026-05-15,160.0,160.0,149.02,151.99,4386,EQ,56,78.32,4181
2026-05-18,156.0,156.0,145.05,148.69,749,EQ,89,8.42,615
2026-05-19,146.05,164.4,146.0,157.96,21025,EQ,547,38.44,14299
2026-05-20,159.0,163.0,155.38,158.24,3606,EQ,388,9.29,1803
2026-05-21,159.01,161.78,155.5,156.83,18432,EQ,613,30.07,9951
2026-05-22,160.8,161.65,151.0,156.01,5257,EQ,306,17.18,2906
2026-05-25,152.1,161.0,152.1,157.04,3495,EQ,201,17.39,2465
2026-05-26,158.0,159.95,156.0,158.23,892,EQ,79,11.29,547
2026-05-27,159.02,159.99,155.11,156.67,323,EQ,28,11.54,235
2026-05-29,157.0,160.99,157.0,159.92,2072,EQ,66,31.39,1863
2026-06-01,160.6,160.6,153.06,156.35,2568,EQ,102,25.18,2245
2026-06-02,160.0,161.9,155.5,159.5,3862,EQ,45,85.82,3098
2026-06-03,160.0,161.5,155.7,157.73,2473,EQ,72,34.35,1939
