Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,420.0,420.0,380.0,385.26,1313,EQ,84,15.63,1161
2026-04-21,385.26,389.75,379.0,382.78,6862,EQ,162,42.36,5482
2026-04-22,395.8,395.8,370.1,384.17,5434,EQ,261,20.82,2465
2026-04-23,385.0,391.5,376.45,383.56,3834,EQ,187,20.5,2895
2026-04-24,381.99,385.0,371.05,377.82,1834,EQ,169,10.85,1191
2026-04-27,384.8,402.0,375.0,382.8,14026,EQ,883,15.88,9664
2026-04-28,377.11,386.84,372.1,379.07,5413,EQ,471,11.49,3587
2026-04-29,381.0,384.41,375.2,379.24,4046,EQ,344,11.76,3014
2026-04-30,378.92,383.0,375.44,377.14,2864,EQ,216,13.26,2450
2026-05-04,380.5,382.1,375.5,379.7,4059,EQ,193,21.03,2971
2026-05-05,377.85,381.8,374.55,375.2,6508,EQ,216,30.13,6275
2026-05-06,374.55,381.9,373.0,380.35,6364,EQ,221,28.8,4392
2026-05-07,377.1,394.0,377.1,380.55,7032,EQ,284,24.76,5945
2026-05-08,384.0,387.5,377.7,384.2,4548,EQ,264,17.23,3708
2026-05-11,384.0,387.0,367.0,371.6,11074,EQ,577,19.19,9447
2026-05-12,363.0,377.55,360.0,361.55,7471,EQ,331,22.57,6382
2026-05-13,365.0,381.8,354.15,358.9,12888,EQ,653,19.74,7503
2026-05-14,363.85,368.0,357.15,364.0,2887,EQ,297,9.72,1767
2026-05-15,363.15,369.1,358.1,361.0,4267,EQ,233,18.31,3315
2026-05-18,352.5,359.95,345.8,348.0,9955,EQ,675,14.75,5471
2026-05-19,343.0,352.0,343.0,348.05,5325,EQ,358,14.87,3492
2026-05-20,350.6,365.0,348.05,358.45,3065,EQ,245,12.51,2159
2026-05-21,355.05,362.45,350.2,354.35,2819,EQ,226,12.47,2197
2026-05-22,363.2,363.2,348.0,353.25,3898,EQ,394,9.89,2250
2026-05-25,353.25,359.95,340.2,346.8,27155,EQ,1581,17.18,17047
2026-05-26,349.5,352.0,344.95,349.45,4773,EQ,321,14.87,3369
2026-05-27,349.6,349.95,339.3,345.0,11417,EQ,721,15.83,7417
2026-05-29,344.0,344.0,333.0,334.4,16797,EQ,1127,14.9,12903
2026-06-01,336.0,338.9,330.0,330.5,6436,EQ,408,15.77,5098
2026-06-02,330.0,330.3,322.6,323.7,16196,EQ,642,25.23,13684
2026-06-03,329.0,329.0,321.0,328.65,5723,EQ,325,17.61,4379
2026-06-04,320.4,354.0,320.4,335.5,28151,EQ,1263,22.29,20424
2026-06-05,330.85,339.5,330.85,335.3,2700,EQ,202,13.37,1619
2026-06-08,346.7,347.0,333.0,335.3,20140,EQ,952,21.16,14354
